$Info: Start...
Info: get 10000 brown.words
Info: annotate pos_tag (10000 tokens)
Info: convert to pyrata format 
Info: control pyrata cpu time and memory usage
Info: end.
         5803160 function calls (5744724 primitive calls) in 11.093 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.001    0.000    0.152    0.002 dispatcher.py:178(add)
        1    0.000    0.000    0.152    0.152 __init__.py:100(_get_tagger)
        1    0.000    0.000    0.152    0.152 perceptron.py:159(__init__)
        1    0.000    0.000    0.151    0.151 perceptron.py:247(load)
        1    0.000    0.000    0.151    0.151 data.py:662(load)
        1    0.151    0.151    0.151    0.151 {built-in method _pickle.load}
       85    0.001    0.000    0.151    0.002 dispatcher.py:222(reorder)
      417    0.059    0.000    0.148    0.000 assumptions.py:526(__init__)
   204653    0.147    0.000    0.147    0.000 __init__.py:1677(isEnabledFor)
      969    0.013    0.000    0.138    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.136    0.136 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.136    0.136 specialpolys.py:1(<module>)
        1    0.009    0.009    0.135    0.135 perceptron.py:181(<listcomp>)
        1    0.017    0.017    0.133    0.133 facts.py:134(apply_beta_to_alpha_route)
    36036    0.062    0.000    0.128    0.000 compatibility.py:149(iterable)
     1311    0.028    0.000    0.125    0.000 tagged.py:335(<listcomp>)
    71900    0.116    0.000    0.119    0.000 basic.py:1997(__init__)
        1    0.000    0.000    0.118    0.118 text.py:9(<module>)
      965    0.002    0.000    0.117    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
386389/384648    0.116    0.000    0.117    0.000 {built-in method builtins.len}
    52808    0.097    0.000    0.115    0.000 perceptron.py:290(add)
      965    0.006    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
        2    0.000    0.000    0.114    0.057 __init__.py:11(<module>)
        1    0.000    0.000    0.112    0.112 expr.py:1(<module>)
        1    0.000    0.000    0.112    0.112 polytools.py:1(<module>)
   140274    0.112    0.000    0.112    0.000 state.py:210(<listcomp>)
    71912    0.049    0.000    0.111    0.000 basic.py:2045(__next__)
        1    0.000    0.000    0.110    0.110 point.py:1(<module>)
      219    0.002    0.000    0.108    0.000 function.py:158(__init__)
        1    0.000    0.000    0.107    0.107 entity.py:1(<module>)
     2041    0.005    0.000    0.106    0.000 {built-in method builtins.any}
      2/1    0.000    0.000    0.101    0.101 collections.py:157(__getitem__)
        1    0.000    0.000    0.101    0.101 internals.py:1029(slice_bounds)
    13880    0.035    0.000    0.100    0.000 facts.py:204(<genexpr>)
        1    0.000    0.000    0.099    0.099 constructor.py:1(<module>)
     1356    0.025    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    30225    0.068    0.000    0.098    0.000 util.py:10(str2tuple)
     2270    0.057    0.000    0.093    0.000 compiled_pattern.py:182(build_matching_result)
      319    0.002    0.000    0.092    0.000 sre_parse.py:937(parse)
        2    0.000    0.000    0.091    0.046 numbers.py:1(<module>)
        2    0.000    0.000    0.090    0.045 util.py:8(<module>)
  776/319    0.004    0.000    0.088    0.000 sre_parse.py:435(_parse_sub)
  922/358    0.028    0.000    0.085    0.000 sre_parse.py:493(_parse)
   204266    0.083    0.000    0.083    0.000 {method 'join' of 'str' objects}
       85    0.002    0.000    0.077    0.001 conflict.py:56(ordering)
   169740    0.076    0.000    0.076    0.000 perceptron.py:70(<lambda>)
       85    0.001    0.000    0.073    0.001 conflict.py:24(ambiguities)
       85    0.014    0.000    0.073    0.001 conflict.py:27(<setcomp>)
        1    0.000    0.000    0.071    0.071 meteor_score.py:10(<module>)
  942/939    0.003    0.000    0.069    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.069    0.069 tagged.py:272(words)
        1    0.000    0.000    0.069    0.069 tagged.py:83(words)
        1    0.000    0.000    0.065    0.065 intersection.py:1(<module>)
       85    0.007    0.000    0.065    0.001 conflict.py:62(<listcomp>)
        1    0.000    0.000    0.064    0.064 request.py:1(<module>)
        1    0.000    0.000    0.063    0.063 snowball.py:17(<module>)
        1    0.000    0.000    0.063    0.063 partfrac.py:1(<module>)
        1    0.000    0.000    0.063    0.063 decorator.py:59(xthreaded)
        1    0.000    0.000    0.063    0.063 decorator.py:11(threaded_factory)
    36464    0.024    0.000    0.063    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.062    0.062 numberfields.py:1(<module>)
        1    0.000    0.000    0.061    0.061 finitefield.py:1(<module>)
        1    0.000    0.000    0.060    0.060 summations.py:1(<module>)
        1    0.000    0.000    0.059    0.059 evalf.py:1(<module>)
    80520    0.059    0.000    0.059    0.000 {method 'rpartition' of 'str' objects}
      319    0.001    0.000    0.059    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.059    0.059 groundtypes.py:1(<module>)
        1    0.000    0.000    0.059    0.059 pythonrational.py:1(<module>)
      771    0.005    0.000    0.058    0.000 util.py:599(read_blankline_block)
        1    0.000    0.000    0.058    0.058 rootoftools.py:1(<module>)
        1    0.000    0.000    0.057    0.057 singularities.py:1(<module>)
    12018    0.011    0.000    0.057    0.000 conflict.py:43(edge)
24953/24881    0.027    0.000    0.056    0.000 logic.py:404(__new__)
        1    0.001    0.001    0.056    0.056 facts.py:94(deduce_alpha_implications)
        1    0.027    0.027    0.056    0.056 api.py:168(abspaths)
     1035    0.011    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.053    0.053 lambdify.py:1(<module>)
        1    0.000    0.000    0.053    0.053 decorator.py:1(<module>)
      320    0.002    0.000    0.053    0.000 overrides.py:187(decorator)
        1    0.018    0.018    0.052    0.052 facts.py:74(transitive_closure)
     2985    0.022    0.000    0.052    0.000 data.py:1071(readline)
        1    0.000    0.000    0.051    0.051 runtests.py:1(<module>)
31787/31544    0.040    0.000    0.051    0.000 logic.py:236(__hash__)
     5598    0.004    0.000    0.050    0.000 conflict.py:19(ambiguous)
        1    0.000    0.000    0.050    0.050 ctx_fp.py:1(<module>)
    14724    0.030    0.000    0.050    0.000 conflict.py:7(supercedes)
     2082    0.006    0.000    0.048    0.000 regexp.py:122(tokenize)
        1    0.000    0.000    0.048    0.048 ctx_base.py:1(<module>)
    10809    0.039    0.000    0.047    0.000 copy.py:242(_keep_alive)
   143590    0.047    0.000    0.047    0.000 basic.py:2001(_preorder_traversal)
        1    0.000    0.000    0.046    0.046 mul.py:1(<module>)
        1    0.000    0.000    0.046    0.046 polyroots.py:1(<module>)
        1    0.000    0.000    0.046    0.046 casual.py:14(<module>)
    71895    0.045    0.000    0.045    0.000 expr.py:125(__hash__)
        1    0.000    0.000    0.044    0.044 client.py:1(<module>)
        1    0.000    0.000    0.043    0.043 doctest.py:9(<module>)
        1    0.000    0.000    0.043    0.043 immutable.py:1(<module>)
    64621    0.042    0.000    0.042    0.000 state.py:72(is_start)
    81517    0.042    0.000    0.042    0.000 {method 'update' of 'set' objects}
     5598    0.020    0.000    0.041    0.000 conflict.py:12(consistent)
 1496/319    0.014    0.000    0.041    0.000 sre_compile.py:71(_compile)
      942    0.007    0.000    0.041    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     4685    0.040    0.000    0.040    0.000 {built-in method posix.stat}
    36464    0.039    0.000    0.039    0.000 {built-in method _abc._abc_instancecheck}
    28312    0.039    0.000    0.039    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.038    0.038 api.py:13(<module>)
     4929    0.007    0.000    0.037    0.000 nfa.py:213(contains_matching_state)
    59132    0.036    0.000    0.036    0.000 {built-in method builtins.hasattr}
     2104    0.036    0.000    0.036    0.000 {method 'split' of 're.Pattern' objects}
        5    0.000    0.000    0.035    0.007 __init__.py:8(<module>)
94670/94241    0.034    0.000    0.034    0.000 {built-in method builtins.hash}
     7584    0.014    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     3664    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      320    0.034    0.000    0.034    0.000 {built-in method builtins.compile}
    56976    0.033    0.000    0.033    0.000 state.py:75(is_matching)
21151/21127    0.018    0.000    0.032    0.000 {built-in method builtins.all}
        3    0.000    0.000    0.032    0.011 solvers.py:1(<module>)
    53803    0.031    0.000    0.031    0.000 state.py:78(is_empty)
    82077    0.031    0.000    0.031    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.031    0.031 hyperexpand.py:1(<module>)
5280/1760    0.010    0.000    0.031    0.000 nfa.py:221(__contains_matching_state)
        1    0.000    0.000    0.030    0.030 rcode.py:1(<module>)
        1    0.000    0.000    0.028    0.028 union.py:1(<module>)
        1    0.001    0.001    0.028    0.028 api.py:191(<listcomp>)
      302    0.001    0.000    0.028    0.000 inspect.py:3091(signature)
      302    0.001    0.000    0.027    0.000 inspect.py:2839(from_callable)
      500    0.002    0.000    0.027    0.000 data.py:333(join)
    26976    0.018    0.000    0.027    0.000 boolalg.py:405(__hash__)
  522/303    0.005    0.000    0.027    0.000 inspect.py:2206(_signature_from_callable)
        1    0.000    0.000    0.027    0.027 featstruct.py:10(<module>)
     1784    0.011    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      771    0.009    0.000    0.027    0.000 data.py:1276(tell)
        1    0.000    0.000    0.026    0.026 async_case.py:1(<module>)
        1    0.000    0.000    0.026    0.026 parser.py:5(<module>)
      219    0.002    0.000    0.025    0.000 function.py:117(arity)
     1035    0.025    0.000    0.025    0.000 {built-in method io.open_code}
    35968    0.025    0.000    0.025    0.000 boolalg.py:435(<lambda>)
        1    0.000    0.000    0.025    0.025 feedparser.py:5(<module>)
        1    0.000    0.000    0.023    0.023 slice.py:1(<module>)
        5    0.000    0.000    0.023    0.005 regex.py:451(_compile)
    46/45    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
        4    0.000    0.000    0.022    0.006 regex.py:349(compile)
    46/45    0.020    0.000    0.022    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.022    0.022 regex.py:16(<module>)
        1    0.000    0.000    0.022    0.022 matexpr.py:1(<module>)
        1    0.000    0.000    0.022    0.022 power.py:1(<module>)
    10000    0.015    0.000    0.022    0.000 perceptron.py:267(normalize)
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _policybase.py:1(<module>)
        1    0.000    0.000    0.022    0.022 algebraicfield.py:1(<module>)
     5640    0.022    0.000    0.022    0.000 {method 'read' of '_io.BufferedReader' objects}
    36036    0.021    0.000    0.022    0.000 {built-in method builtins.iter}
      519    0.001    0.000    0.021    0.000 compat.py:39(_decorator)
     1830    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap>:376(cached)
      560    0.015    0.000    0.021    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.020    0.020 error_functions.py:1(<module>)
        1    0.000    0.000    0.020    0.020 polyclasses.py:1(<module>)
        1    0.000    0.000    0.020    0.020 numeric.py:1(<module>)
    27229    0.020    0.000    0.020    0.000 assumptions.py:444(as_property)
        1    0.007    0.007    0.020    0.020 _regex_core.py:16(<module>)
     7605    0.006    0.000    0.020    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.020    0.020 function.py:1(<module>)
        1    0.000    0.000    0.019    0.019 trigonometric.py:1(<module>)
        1    0.000    0.000    0.019    0.019 internals.py:10(<module>)
        1    0.000    0.000    0.019    0.019 re.py:46(compile)
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
        1    0.000    0.000    0.019    0.019 compiled_pattern.py:296(compile)
    71919    0.019    0.000    0.019    0.000 core.py:71(<lambda>)
      938    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        1    0.000    0.000    0.018    0.018 corenlp.py:10(<module>)
        1    0.000    0.000    0.018    0.018 compiled_pattern.py:326(compile_nfa_pattern)
        1    0.000    0.000    0.018    0.018 compiled_pattern.py:339(__parse_current_pattern_pos)
        1    0.000    0.000    0.018    0.018 overrides.py:1(<module>)
     1000    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:147(__enter__)
      319    0.003    0.000    0.017    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.017    0.017 base_events.py:1(<module>)
     2270    0.013    0.000    0.017    0.000 match.py:47(__init__)
      503    0.001    0.000    0.016    0.000 data.py:303(__init__)
    71900    0.016    0.000    0.016    0.000 basic.py:2048(__iter__)
        1    0.000    0.000    0.016    0.016 toktok.py:11(<module>)
        1    0.000    0.000    0.016    0.016 toktok.py:29(ToktokTokenizer)
       13    0.000    0.000    0.016    0.001 enum.py:445(_convert_)
     9778    0.016    0.000    0.016    0.000 sre_parse.py:233(__next)
     7584    0.011    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        1    0.000    0.000    0.016    0.016 utils.py:5(<module>)
     1226    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.015    0.015 sequences.py:1(<module>)
        1    0.000    0.000    0.015    0.015 pydoc.py:2(<module>)
    32747    0.015    0.000    0.015    0.000 {built-in method builtins.id}
    12295    0.008    0.000    0.015    0.000 conflict.py:15(<genexpr>)
        2    0.000    0.000    0.015    0.007 shape_base.py:1(<module>)
      303    0.005    0.000    0.015    0.000 inspect.py:2112(_signature_from_function)
    10350    0.015    0.000    0.015    0.000 {built-in method __new__ of type object at 0x7f875784dfc0}
     3087    0.008    0.000    0.015    0.000 data.py:1322(_read)
     1321    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
    50507    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.014    0.007 dense.py:1(<module>)
        3    0.000    0.000    0.014    0.005 lexer.py:140(__init__)
       74    0.006    0.000    0.014    0.000 __init__.py:313(namedtuple)
        3    0.000    0.000    0.014    0.005 lexer.py:220(build)
    53515    0.014    0.000    0.014    0.000 {method 'items' of 'dict' objects}
     1385    0.003    0.000    0.014    0.000 enum.py:289(__call__)
        6    0.000    0.000    0.014    0.002 util.py:9(<module>)
        3    0.000    0.000    0.014    0.005 lex.py:862(lex)
     35/5    0.000    0.000    0.014    0.003 _regex_core.py:382(_parse_pattern)
     60/5    0.001    0.000    0.014    0.003 _regex_core.py:392(parse_sequence)
     30/5    0.000    0.000    0.014    0.003 _regex_core.py:768(parse_paren)
        1    0.000    0.000    0.013    0.013 euclidtools.py:1(<module>)
    30242    0.013    0.000    0.013    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.013    0.013 comparison.py:1(<module>)
     1729    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        2    0.000    0.000    0.013    0.007 transforms.py:1(<module>)
        2    0.000    0.000    0.013    0.007 matrices.py:1(<module>)
        1    0.000    0.000    0.013    0.013 destructive.py:9(<module>)
        1    0.000    0.000    0.013    0.013 destructive.py:32(NLTKWordTokenizer)
        1    0.001    0.001    0.012    0.012 tagged.py:90(<listcomp>)
     8970    0.009    0.000    0.012    0.000 boolalg.py:337(__hash__)
        1    0.000    0.000    0.012    0.012 integrals.py:1(<module>)
        2    0.000    0.000    0.012    0.006 bessel.py:1(<module>)
 1866/723    0.007    0.000    0.012    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.012    0.012 symbol.py:1(<module>)
        1    0.000    0.000    0.012    0.012 diophantine.py:1(<module>)
        1    0.000    0.000    0.012    0.012 ssl.py:4(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:17(<module>)
        1    0.000    0.000    0.012    0.012 grammar.py:13(<module>)
     8978    0.007    0.000    0.012    0.000 logic.py:228(__new__)
    23525    0.012    0.000    0.012    0.000 {built-in method builtins.issubclass}
       21    0.005    0.000    0.012    0.001 enum.py:136(__new__)
    23/15    0.000    0.000    0.012    0.001 _regex_core.py:1081(parse_flags_subpattern)
    23/15    0.000    0.000    0.011    0.001 _regex_core.py:1067(parse_subpattern)
    37255    0.011    0.000    0.011    0.000 {method 'pop' of 'dict' objects}
     5388    0.011    0.000    0.011    0.000 {method 'tell' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.011    0.011 integers.py:1(<module>)
      500    0.001    0.000    0.011    0.000 tagged.py:306(__init__)
        1    0.000    0.000    0.011    0.011 treebank.py:10(<module>)
      507    0.001    0.000    0.011    0.000 posixpath.py:372(abspath)
     8731    0.007    0.000    0.011    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.010    0.010 _internal.py:1(<module>)
      808    0.006    0.000    0.010    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.010    0.010 treebank.py:193(TreebankWordDetokenizer)
    22189    0.008    0.000    0.010    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.010    0.010 _pickle.py:1(<module>)
   194/68    0.001    0.000    0.010    0.000 facts.py:308(process_rule)
      938    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      446    0.002    0.000    0.010    0.000 assumptions.py:424(__init__)
        1    0.000    0.000    0.010    0.010 featstruct.py:2160(FeatStructReader)
      290    0.002    0.000    0.010    0.000 overrides.py:93(verify_matching_signatures)
        1    0.000    0.000    0.010    0.010 simplify.py:1(<module>)
      500    0.002    0.000    0.010    0.000 util.py:121(__init__)
8469/8402    0.007    0.000    0.010    0.000 logic.py:239(__eq__)
       13    0.000    0.000    0.010    0.001 enum.py:392(_create_)
   158/68    0.001    0.000    0.010    0.000 facts.py:325(_process_rule)
      729    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    21781    0.009    0.000    0.009    0.000 {method 'copy' of 'dict' objects}
    13669    0.009    0.000    0.009    0.000 {method 'get' of 'mappingproxy' objects}
      215    0.001    0.000    0.009    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.009    0.009 py3k.py:1(<module>)
        1    0.000    0.000    0.009    0.009 socket.py:4(<module>)
    30487    0.009    0.000    0.009    0.000 {method 'upper' of 'str' objects}
    46/42    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
        3    0.000    0.000    0.009    0.003 lex.py:576(validate_all)
        3    0.000    0.000    0.009    0.003 lex.py:728(validate_rules)
    46/42    0.004    0.000    0.009    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.009    0.009 bleu_score.py:10(<module>)
        1    0.000    0.000    0.009    0.009 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
      892    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.009    0.009 manualintegrate.py:1(<module>)
    12568    0.009    0.000    0.009    0.000 {method 'difference_update' of 'set' objects}
     1626    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        1    0.000    0.000    0.008    0.008 hyper.py:1(<module>)
        1    0.000    0.000    0.008    0.008 ctx_mp.py:1(<module>)
        1    0.000    0.000    0.008    0.008 defchararray.py:1(<module>)
        1    0.000    0.000    0.008    0.008 gamma_functions.py:1(<module>)
      398    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
       61    0.000    0.000    0.008    0.000 _regex_core.py:1389(parse_set)
        1    0.000    0.000    0.008    0.008 fractions.py:4(<module>)
     1729    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:78(acquire)
      530    0.005    0.000    0.008    0.000 posixpath.py:334(normpath)
      124    0.004    0.000    0.008    0.000 facts.py:499(deduce_all_facts)
        1    0.000    0.000    0.008    0.008 matmul.py:1(<module>)
       43    0.000    0.000    0.008    0.000 manualintegrate.py:42(Rule)
        1    0.000    0.000    0.008    0.008 hyperbolic.py:1(<module>)
        2    0.000    0.000    0.008    0.004 eigen.py:1(<module>)
        2    0.000    0.000    0.008    0.004 linalg.py:1(<module>)
        1    0.000    0.000    0.008    0.008 platform.py:3(<module>)
      624    0.001    0.000    0.008    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.008    0.008 sequential.py:10(<module>)
        2    0.002    0.001    0.007    0.004 compatibility.py:1(<module>)
       85    0.003    0.000    0.007    0.000 utils.py:22(_toposort)
        1    0.000    0.000    0.007    0.007 boolalg.py:1(<module>)
      167    0.002    0.000    0.007    0.000 logic.py:324(__new__)
     1729    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.007    0.007 relational.py:1(<module>)
    16585    0.007    0.000    0.007    0.000 {method 'extend' of 'list' objects}
    26994    0.007    0.000    0.007    0.000 boolalg.py:402(__bool__)
        1    0.000    0.000    0.007    0.007 polyoptions.py:1(<module>)
        1    0.000    0.000    0.007    0.007 chart.py:8(<module>)
        2    0.000    0.000    0.007    0.003 function_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 xmldocs.py:8(<module>)
        1    0.000    0.000    0.007    0.007 subprocess.py:10(<module>)
        1    0.000    0.000    0.007    0.007 xmldocs.py:93(XMLCorpusView)
        1    0.000    0.000    0.007    0.007 stanford_segmenter.py:14(<module>)
     4605    0.003    0.000    0.007    0.000 data.py:1360(_incr_decode)
        1    0.000    0.000    0.007    0.007 util.py:111(__getattr__)
        1    0.000    0.000    0.007    0.007 util.py:67(__load)
     1000    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:151(__exit__)
      938    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.007    0.007 pretty.py:1(<module>)
       76    0.000    0.000    0.007    0.000 core.py:75(ismethod)
    10827    0.006    0.000    0.006    0.000 {method 'copy' of 'set' objects}
      533    0.005    0.000    0.006    0.000 posixpath.py:71(join)
        5    0.000    0.000    0.006    0.001 core.py:1(<module>)
      500    0.001    0.000    0.006    0.000 data.py:330(file_size)
        1    0.000    0.000    0.006    0.006 solveset.py:1(<module>)
        2    0.000    0.000    0.006    0.003 polynomials.py:1(<module>)
      759    0.003    0.000    0.006    0.000 data.py:1236(_char_seek_forward)
        1    0.000    0.000    0.006    0.006 complexes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 line.py:1(<module>)
     4127    0.006    0.000    0.006    0.000 {built-in method builtins.min}
     8138    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
     2082    0.006    0.000    0.006    0.000 regexp.py:127(<listcomp>)
        2    0.000    0.000    0.006    0.003 sets.py:1(<module>)
       61    0.001    0.000    0.006    0.000 _regex_core.py:1455(parse_set_imp_union)
      892    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
